Country,Cholesterol,BMI25,BMI30,MalignantTumor,DiabetesMellitus,CardiovascularDiseases,BloodPressure
Cuba,6.9 [2.9-14.1],61.4 [56.5-66.0],26.1 [21.5-30.9],24086.0,2326.0,35314.0,23.0 [16.9-30.2]
Cyprus,17.7 [9.1-29.8],60.3 [55.6-64.9],22.2 [17.2-27.6],1883.0,528.0,2748.0,22.1 [16.0-29.3]
Czechia,15.5 [10.3-21.5],66.1 [61.7-70.3],28.0 [23.2-33.2],27256.0,3775.0,50729.0,34.1 [27.0-41.5]
Democratic People's Republic of Korea,5.3 [2.0-11.3],32.9 [27.6-38.1],6.8 [4.1-10.2],41711.0,3108.0,85410.0,19.2 [13.3-26.2]
Democratic Republic of the Congo,2.8 [0.9-6.8],21.6 [17.4-26.1],5.3 [3.5-7.6],37454.0,7492.0,73131.0,21.8 [15.6-28.9]
Denmark,25.5 [14.9-38.1],58.8 [54.8-62.7],20.9 [17.4-24.7],16580.0,1471.0,13281.0,27.0 [21.3-32.9]
Djibouti,8.4 [3.5-16.4],35.0 [29.6-40.4],11.8 [8.3-16.1],534.0,175.0,1324.0,21.8 [15.3-29.2]
Dominica,9.3 [5.2-15.0],60.0 [54.9-64.9],27.5 [22.1-33.1],,,,23.4 [17.2-30.3]
Dominican Republic,7.1 [3.1-13.7],58.9 [54.2-63.5],26.0 [21.4-31.1],10117.0,2369.0,22314.0,20.1 [14.4-26.8]
Ecuador,9.6 [4.1-18.7],54.2 [48.9-59.4],18.8 [14.5-23.6],14133.0,6181.0,19326.0,16.7 [11.7-22.3]
Egypt,9.2 [5.8-13.6],61.1 [57.0-65.1],30.2 [26.1-34.5],76185.0,17533.0,248654.0,22.6 [17.8-27.9]
El Salvador,7.8 [3.3-15.0],56.1 [51.5-60.6],22.1 [17.6-26.8],6481.0,2215.0,9538.0,16.8 [12.1-22.3]
Equatorial Guinea,10.5 [3.8-22.0],24.5 [19.5-29.8],7.1 [4.5-10.3],457.0,282.0,1456.0,24.1 [17.1-31.9]
Eritrea,3.9 [1.6-8.2],18.6 [15.2-22.2],3.8 [2.5-5.6],2615.0,848.0,6525.0,21.1 [15.5-27.4]
Estonia,18.5 [8.2-33.0],59.9 [55.6-64.2],23.4 [19.7-27.5],3906.0,141.0,7838.0,34.3 [28.5-40.4]
Eswatini,6.8 [2.5-14.6],32.3 [28.0-37.0],13.1 [9.7-16.9],732.0,709.0,1585.0,22.0 [16.7-28.1]
Ethiopia,3.9 [1.6-7.8],17.6 [14.3-21.1],3.4 [2.2-4.9],49358.0,12484.0,106105.0,23.6 [17.4-30.4]
Fiji,15.4 [8.2-25.5],62.7 [57.3-67.9],29.3 [23.9-35.0],601.0,1400.0,2112.0,20.3 [14.4-27.2]
Finland,19.7 [14.3-25.9],62.1 [58.6-65.6],24.5 [21.1-28.0],12275.0,486.0,19373.0,26.5 [21.3-32.1]
France,20.6 [14.5-28.0],62.5 [58.2-66.6],22.8 [18.6-27.2],172008.0,12273.0,144120.0,28.5 [22.3-35.1]
Gabon,11.0 [4.3-22.2],36.3 [30.3-42.4],13.1 [9.3-17.5],747.0,390.0,2498.0,21.5 [15.2-28.9]
Gambia,3.6 [1.6-7.4],27.3 [23.3-31.6],8.4 [6.0-11.1],566.0,195.0,2197.0,21.5 [15.9-27.9]
Georgia,8.7 [3.5-16.9],56.2 [51.3-61.0],22.5 [17.8-27.6],7173.0,1271.0,34243.0,31.5 [24.5-39.4]
Germany,24.6 [13.7-37.4],62.3 [58.4-66.0],25.2 [21.6-29.0],234777.0,25139.0,350756.0,27.7 [21.1-33.9]
Ghana,3.1 [1.4-6.1],28.6 [25.1-32.3],9.3 [7.3-11.7],11606.0,5519.0,41072.0,18.6 [14.3-23.5]
Greece,12.8 [7.0-20.9],66.5 [62.1-70.7],26.9 [22.2-32.0],31109.0,1871.0,47408.0,26.0 [19.5-33.3]
Grenada,7.7 [3.2-15.5],48.4 [43.1-53.9],19.4 [14.9-24.5],147.0,83.0,251.0,22.2 [16.4-28.6]
Guatemala,5.6 [2.7-10.5],50.6 [46.0-55.2],18.2 [14.5-22.5],7929.0,6306.0,13102.0,17.0 [12.1-22.6]
Guinea,3.3 [1.4-7.0],23.3 [19.6-27.2],6.3 [4.5-8.5],4756.0,2053.0,16997.0,24.1 [18.4-30.6]
Guinea-Bissau,2.9 [1.2-6.1],26.3 [22.1-30.6],7.8 [5.5-10.7],693.0,244.0,1971.0,24.0 [17.8-30.7]
Guyana,4.4 [1.8-9.2],46.7 [41.3-52.4],18.6 [14.1-23.6],535.0,530.0,2185.0,19.5 [13.5-26.5]
Haiti,4.3 [1.7-9.0],49.9 [44.9-54.8],19.6 [15.4-24.5],6629.0,3887.0,25942.0,20.2 [14.4-26.9]
Honduras,6.3 [2.7-12.9],51.0 [46.3-55.6],18.7 [14.7-23.2],5310.0,797.0,9479.0,17.3 [12.4-22.9]
Hungary,17.9 [8.0-31.8],64.8 [60.4-69.2],28.1 [23.1-33.2],32768.0,2772.0,64198.0,36.7 [29.3-44.1]
Iceland,29.1 [16.1-43.6],61.0 [57.2-64.8],22.7 [18.9-26.7],645.0,28.0,691.0,23.2 [17.0-30.0]
India,5.3 [3.5-7.6],18.7 [16.1-21.5],3.6 [2.8-4.5],795168.0,296010.0,2516080.0,23.5 [19.3-28.2]
Indonesia,7.7 [3.6-14.1],27.4 [23.7-31.2],6.5 [4.8-8.5],210403.0,97996.0,636075.0,22.0 [16.9-27.6]
Iran (Islamic Republic of),15.3 [10.9-20.7],59.7 [56.2-63.1],24.6 [21.6-27.7],57833.0,14599.0,158127.0,17.1 [13.0-21.6]
Iraq,10.5 [6.5-15.8],59.1 [55.0-63.4],26.8 [22.3-31.6],20454.0,6957.0,50754.0,19.4 [14.2-24.9]
Ireland,21.7 [11.3-34.9],62.8 [58.7-66.8],26.2 [21.8-30.6],9037.0,556.0,8781.0,22.8 [17.3-28.9]
Israel,14.5 [7.9-23.7],64.9 [60.6-69.0],26.3 [21.8-31.1],11876.0,2673.0,10709.0,18.7 [13.4-24.7]
Italy,20.1 [14.5-26.8],63.6 [59.8-67.4],22.5 [19.2-26.1],173206.0,22706.0,235411.0,29.7 [23.5-35.7]
Jamaica,5.9 [3.8-8.9],54.2 [49.5-58.9],23.7 [19.5-28.3],3832.0,2279.0,5746.0,21.9 [16.1-28.4]
Japan,15.8 [12.0-20.1],29.0 [25.9-32.2],4.2 [3.2-5.4],394234.0,14475.0,356323.0,26.7 [22.3-31.7]
Jordan,12.2 [8.2-17.1],65.6 [62.0-69.3],32.5 [28.4-36.8],4300.0,2266.0,12725.0,16.4 [11.8-21.6]
Kazakhstan,12.3 [5.2-23.2],53.1 [48.5-57.7],20.6 [16.6-24.9],25041.0,1352.0,73772.0,26.5 [19.5-34.0]
Kenya,5.3 [2.2-10.6],22.0 [18.5-25.6],5.7 [4.0-7.7],25872.0,2123.0,19934.0,19.9 [14.5-26.3]
Kiribati,7.6 [4.0-13.0],77.6 [73.5-81.4],44.9 [38.9-50.8],72.0,79.0,178.0,20.7 [15.0-27.4]
Kuwait,16.0 [10.4-22.7],71.4 [67.6-75.2],36.3 [31.8-41.1],1569.0,303.0,4264.0,17.7 [12.7-23.4]
Kyrgyzstan,6.3 [2.5-12.9],44.9 [39.7-50.0],14.7 [11.0-19.0],4034.0,377.0,18949.0,22.7 [16.9-29.2]
Lao People's Democratic Republic,6.7 [2.9-13.4],21.7 [18.3-25.5],4.2 [2.8-6.0],5311.0,1623.0,12330.0,19.3 [14.3-24.8]
Latvia,18.0 [7.9-32.9],61.2 [56.0-66.2],25.3 [19.7-31.1],5941.0,478.0,16203.0,36.4 [28.7-44.3]
Lebanon,11.5 [5.2-21.0],66.1 [61.9-70.0],30.5 [25.6-35.7],5805.0,1752.0,16654.0,19.7 [14.7-25.7]
Lesotho,4.4 [1.6-10.3],32.6 [28.5-36.9],13.1 [10.1-16.4],1279.0,1174.0,3977.0,21.5 [16.4-27.1]
Liberia,2.7 [1.1-5.7],27.3 [23.6-31.3],8.3 [6.1-10.9],1794.0,560.0,4429.0,22.3 [17.0-28.5]
Libya,7.4 [5.0-10.3],64.8 [60.5-68.9],31.0 [25.9-36.4],3900.0,1243.0,10900.0,20.5 [15.3-26.3]
Lithuania,17.0 [7.1-31.3],62.4 [57.5-66.9],27.9 [23.0-33.1],8546.0,326.0,23740.0,34.5 [27.1-42.1]
Luxembourg,25.6 [14.0-39.4],61.3 [57.0-65.6],23.7 [19.1-28.7],1103.0,91.0,1140.0,26.2 [20.0-32.8]
Madagascar,4.6 [2.0-9.3],20.5 [17.0-24.4],4.2 [2.8-6.0],14519.0,2096.0,30248.0,21.8 [16.0-28.3]
Malawi,4.2 [2.8-6.2],19.6 [16.3-23.1],4.5 [3.0-6.1],11801.0,1364.0,11710.0,21.7 [16.1-28.1]
Malaysia,15.4 [7.3-26.7],40.6 [36.5-44.8],14.7 [11.9-17.8],23765.0,4380.0,51815.0,20.6 [15.9-26.0]
Maldives,10.6 [4.4-20.3],27.4 [23.5-31.8],7.3 [5.2-10.0],213.0,42.0,461.0,20.0 [14.3-26.4]
Mali,3.5 [1.4-7.3],23.8 [20.2-27.6],6.8 [4.9-9.1],7534.0,2356.0,21470.0,24.9 [18.6-31.9]
Malta,19.2 [9.7-31.8],69.6 [65.1-73.7],30.6 [25.0-36.5],917.0,167.0,1260.0,24.9 [18.3-32.0]
Marshall Islands,12.4 [6.3-21.4],82.3 [78.8-85.6],51.8 [45.8-57.9],,,,20.4 [14.5-27.2]
Mauritania,3.9 [2.2-6.4],30.8 [26.4-35.5],10.9 [8.0-14.3],1526.0,538.0,4892.0,25.7 [19.0-33.4]
Mauritius,12.9 [5.7-24.2],33.3 [28.8-38.0],11.1 [8.1-14.6],1265.0,2391.0,3151.0,27.0 [20.5-34.3]
Mexico,13.9 [8.8-20.8],63.5 [59.9-67.0],27.8 [24.4-31.5],79230.0,97845.0,157519.0,18.5 [13.9-23.8]
Micronesia (Federated States of),13.1 [6.8-21.8],69.4 [64.8-73.9],40.8 [35.1-46.6],74.0,59.0,207.0,20.5 [15.3-26.6]
Monaco,...,No data,No data,,,,No data
Mongolia,7.9 [4.5-13.0],52.7 [48.0-57.4],18.8 [14.9-22.8],3827.0,92.0,7257.0,24.7 [18.7-31.3]
Montenegro,13.4 [5.9-24.7],61.8 [56.9-66.4],24.4 [19.0-30.1],1407.0,159.0,3706.0,34.0 [26.7-41.5]
Morocco,8.5 [4.2-15.1],58.5 [53.9-62.9],24.8 [20.1-29.8],25258.0,10294.0,67088.0,23.8 [18.0-30.3]
Mozambique,4.8 [2.7-7.9],22.6 [19.2-26.4],5.8 [4.0-7.8],20050.0,2586.0,23020.0,22.8 [16.9-29.4]
Myanmar,6.4 [2.7-12.9],23.8 [20.2-27.5],5.4 [3.8-7.3],52824.0,15964.0,104826.0,22.5 [16.6-28.8]
Namibia,7.3 [2.8-15.4],35.7 [31.4-40.3],14.5 [11.2-18.0],969.0,809.0,3205.0,22.4 [17.0-28.2]
Nauru,12.2 [6.6-20.1],87.7 [84.9-90.3],60.4 [54.8-65.8],,,,19.7 [13.9-26.8]
Nepal,4.4 [1.8-8.9],19.1 [15.9-22.5],3.5 [2.5-4.8],16601.0,6285.0,53981.0,26.1 [20.7-32.0]
Netherlands,20.1 [10.5-32.6],62.1 [58.3-65.7],22.6 [19.1-26.3],45881.0,2953.0,38606.0,25.0 [19.8-30.8]
New Zealand,17.0 [8.1-29.7],67.5 [64.4-70.5],31.3 [28.0-34.8],8995.0,861.0,9583.0,20.1 [15.5-25.4]
Nicaragua,6.3 [2.6-12.3],54.0 [49.4-58.6],21.2 [16.8-25.7],4012.0,1582.0,6971.0,17.2 [12.3-22.9]
Niger,2.5 [1.0-5.4],19.3 [15.9-23.1],4.5 [3.1-6.3],5349.0,2453.0,21596.0,27.1 [20.4-34.6]
Nigeria,2.9 [1.2-6.2],25.4 [22.1-29.0],7.4 [5.7-9.3],78314.0,24754.0,217293.0,18.2 [13.8-23.0]
Niue,...,78.5 [74.5-82.2],48.5 [42.4-54.2],,,,23.3 [17.5-29.9]
Norway,21.2 [11.4-34.0],61.2 [57.3-65.0],24.5 [20.6-28.4],11344.0,638.0,11856.0,24.9 [19.1-30.8]
Oman,13.8 [6.8-24.3],54.6 [49.8-59.6],21.9 [17.5-26.6],1182.0,871.0,3920.0,16.2 [11.6-21.6]
Pakistan,6.1 [3.2-10.5],25.4 [21.6-29.7],7.4 [5.4-9.8],114449.0,42158.0,398250.0,25.4 [19.9-31.8]
Palau,17.0 [8.2-29.2],84.0 [80.6-87.1],54.3 [48.3-60.0],,,,22.0 [16.0-29.1]
Panama,10.8 [4.8-20.2],57.8 [53.1-62.2],21.9 [17.6-26.6],3447.0,1467.0,5398.0,19.3 [14.4-25.2]
Papua New Guinea,8.7 [3.9-17.1],48.6 [42.6-54.7],18.8 [13.6-24.5],6580.0,2238.0,12799.0,20.3 [14.0-27.4]
Paraguay,9.1 [3.7-17.8],50.2 [44.6-55.5],18.4 [13.6-23.8],5617.0,2321.0,10233.0,21.6 [15.6-28.3]
Peru,8.6 [5.5-12.4],55.6 [51.5-59.5],18.6 [15.7-21.7],27694.0,5888.0,34947.0,12.6 [9.6-16.0]
Philippines,10.5 [5.9-17.2],25.4 [21.8-29.4],5.7 [4.1-7.7],64591.0,25537.0,223773.0,19.0 [14.3-24.0]
Poland,17.6 [10.9-25.6],61.7 [58.0-65.5],25.0 [21.5-28.6],107379.0,8822.0,184790.0,34.2 [27.9-40.9]
Portugal,16.7 [9.1-27.4],61.6 [57.2-65.9],22.7 [18.5-27.0],28163.0,4765.0,31742.0,31.7 [24.4-39.2]
Qatar,17.9 [8.6-31.5],69.3 [64.4-74.1],32.9 [27.0-39.2],591.0,329.0,963.0,15.4 [9.9-22.2]
Republic of Korea,9.5 [6.4-13.7],31.7 [28.7-34.7],4.8 [3.7-6.0],83052.0,11642.0,63835.0,13.2 [10.0-17.0]
Republic of Moldova,8.6 [3.2-18.1],53.4 [48.2-58.8],19.6 [14.9-24.7],7070.0,481.0,28397.0,33.2 [26.1-40.7]
Romania,12.1 [5.5-22.2],60.7 [56.4-64.9],23.9 [19.5-28.5],51733.0,2530.0,150436.0,35.4 [28.3-43.2]
Russian Federation,15.4 [6.6-27.7],60.5 [56.1-64.7],25.2 [21.5-29.3],348373.0,10134.0,1027040.0,31.7 [25.1-38.5]
Rwanda,4.4 [1.5-9.7],21.4 [18.1-24.9],4.5 [3.1-6.3],8188.0,1375.0,8846.0,19.6 [13.9-26.3]
