"","","","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Morocco"," 2008"," 25+ years","8.5 [4.2-15.1]","7.2 [2.8-14.5]","9.6 [3.3-21.0]","7.9 [4.0-13.9]","6.9 [2.7-13.8]","8.8 [3.1-19.0]"
"Mozambique"," 2008"," 25+ years","4.8 [2.7-7.9]","4.5 [2.2-8.1]","5.1 [2.1-10.3]","4.5 [2.6-7.2]","4.2 [2.1-7.5]","4.7 [2.0-9.3]"
"Myanmar"," 2008"," 25+ years","6.4 [2.7-12.9]","5.1 [1.6-12.4]","7.5 [2.1-18.3]","6.0 [2.6-11.9]","4.9 [1.6-12.0]","7.0 [2.1-17.0]"
"Namibia"," 2008"," 25+ years","7.3 [2.8-15.4]","6.2 [1.5-16.2]","8.2 [2.0-21.5]","6.6 [2.7-13.4]","5.7 [1.5-14.8]","7.5 [1.9-19.1]"
"Nauru"," 2008"," 25+ years","12.2 [6.6-20.1]","9.0 [4.3-16.0]","15.2 [6.1-29.4]","11.3 [6.3-18.3]","8.9 [4.3-15.7]","13.5 [5.6-26.0]"
"Nepal"," 2008"," 25+ years","4.4 [1.8-8.9]","3.7 [1.1-9.0]","4.9 [1.3-12.5]","4.1 [1.8-8.2]","3.6 [1.1-8.5]","4.5 [1.3-11.3]"
"Netherlands"," 2008"," 25+ years","20.1 [10.5-32.6]","20.4 [8.1-39.3]","19.6 [7.1-38.8]","22.2 [11.4-36.2]","21.7 [8.5-41.5]","22.7 [8.0-44.8]"
"New Zealand"," 2008"," 25+ years","17.0 [8.1-29.7]","16.6 [5.6-34.8]","17.3 [5.2-37.0]","18.1 [8.4-31.8]","17.1 [5.7-36.0]","19.1 [5.5-41.0]"
"Nicaragua"," 2008"," 25+ years","6.3 [2.6-12.3]","4.9 [1.5-11.9]","7.5 [2.1-17.6]","5.7 [2.5-11.1]","4.7 [1.5-11.3]","6.7 [2.0-15.5]"
"Niger"," 2008"," 25+ years","2.5 [1.0-5.4]","2.1 [0.6-5.2]","3.0 [0.8-8.0]","2.4 [1.0-5.0]","2.1 [0.6-5.1]","2.8 [0.8-7.0]"
"Nigeria"," 2008"," 25+ years","2.9 [1.2-6.2]","2.1 [0.7-5.1]","3.6 [1.0-9.2]","2.7 [1.2-5.6]","2.0 [0.6-4.7]","3.4 [1.0-8.2]"
"Niue"," 2008"," 25+ years","...","...","...","...","...","..."
"Norway"," 2008"," 25+ years","21.2 [11.4-34.0]","21.8 [8.7-40.6]","20.3 [7.4-38.5]","23.2 [12.3-37.3]","22.9 [9.0-42.8]","23.5 [8.2-44.7]"
"Oman"," 2008"," 25+ years","13.8 [6.8-24.3]","12.5 [4.3-26.5]","15.2 [4.9-31.4]","11.9 [5.9-21.1]","11.5 [4.1-24.2]","12.4 [4.3-25.6]"
"Pakistan"," 2008"," 25+ years","6.1 [3.2-10.5]","5.7 [2.4-11.4]","6.6 [2.5-13.7]","5.8 [3.1-9.9]","5.4 [2.3-10.9]","6.2 [2.4-12.8]"
"Palau"," 2008"," 25+ years","17.0 [8.2-29.2]","15.9 [5.5-33.1]","17.9 [5.8-36.9]","15.8 [7.8-27.2]","15.7 [5.4-32.3]","16.0 [5.4-33.2]"
"Panama"," 2008"," 25+ years","10.8 [4.8-20.2]","9.0 [2.9-20.1]","12.6 [3.7-28.4]","10.4 [4.7-19.4]","8.8 [2.9-19.6]","12.0 [3.7-26.9]"
"Papua New Guinea"," 2008"," 25+ years","8.7 [3.9-17.1]","7.6 [2.6-17.4]","9.7 [2.9-24.2]","8.0 [3.7-15.4]","7.4 [2.5-16.7]","8.6 [2.7-20.7]"
"Paraguay"," 2008"," 25+ years","9.1 [3.7-17.8]","7.8 [2.2-19.1]","10.3 [2.8-25.6]","8.6 [3.6-16.6]","7.5 [2.2-18.4]","9.6 [2.7-23.6]"
"Peru"," 2008"," 25+ years","8.6 [5.5-12.4]","7.7 [4.2-12.5]","9.4 [4.9-15.7]","8.1 [5.2-11.7]","7.4 [4.1-11.9]","8.8 [4.6-14.6]"
"Philippines"," 2008"," 25+ years","10.5 [5.9-17.2]","8.2 [4.0-14.6]","12.5 [5.2-24.2]","9.7 [5.6-15.7]","8.0 [4.0-14.1]","11.4 [4.8-21.8]"
"Poland"," 2008"," 25+ years","17.6 [10.9-25.6]","18.3 [9.9-29.4]","16.5 [7.6-29.7]","18.5 [11.4-27.2]","18.7 [10.1-30.1]","18.3 [8.2-33.3]"
"Portugal"," 2008"," 25+ years","16.7 [9.1-27.4]","16.7 [7.3-31.2]","16.5 [6.1-32.6]","18.3 [9.8-30.2]","17.2 [7.5-32.3]","19.2 [6.9-37.6]"
"Qatar"," 2008"," 25+ years","17.9 [8.6-31.5]","17.2 [6.1-35.2]","19.6 [6.7-38.4]","15.7 [7.5-28.6]","16.0 [5.6-32.8]","14.9 [5.5-29.6]"
"Republic of Korea"," 2008"," 25+ years","9.5 [6.4-13.7]","8.6 [5.1-13.0]","10.2 [5.3-17.2]","9.8 [6.5-14.1]","8.7 [5.2-13.3]","10.8 [5.5-18.2]"
"Republic of Moldova"," 2008"," 25+ years","8.6 [3.2-18.1]","7.5 [1.9-18.5]","9.3 [2.2-24.0]","9.1 [3.3-19.7]","7.6 [1.9-18.9]","10.4 [2.2-27.4]"
"Romania"," 2008"," 25+ years","12.1 [5.5-22.2]","11.4 [3.6-24.8]","12.6 [3.7-28.3]","12.9 [5.7-24.1]","11.5 [3.6-25.2]","14.1 [4.0-32.4]"
"Russian Federation"," 2008"," 25+ years","15.4 [6.6-27.7]","12.3 [3.8-27.4]","17.1 [4.8-36.7]","16.8 [7.0-30.2]","12.5 [3.8-27.8]","20.2 [5.5-42.6]"
"Rwanda"," 2008"," 25+ years","4.4 [1.5-9.7]","3.5 [0.9-9.2]","5.1 [1.2-13.8]","3.9 [1.5-8.1]","3.2 [0.8-8.5]","4.5 [1.2-11.5]"
"Saint Kitts and Nevis"," 2008"," 25+ years","10.6 [4.3-20.4]","8.8 [2.6-21.5]","12.1 [3.4-28.3]","10.6 [4.3-20.3]","8.8 [2.6-21.4]","12.2 [3.4-28.6]"
"Saint Lucia"," 2008"," 25+ years","8.9 [3.7-17.8]","7.2 [2.1-17.7]","10.4 [2.9-24.6]","8.6 [3.6-17.0]","7.1 [2.1-17.3]","10.0 [2.8-23.5]"
"Saint Vincent and the Grenadines"," 2008"," 25+ years","8.4 [3.6-16.3]","6.6 [2.0-16.0]","9.8 [2.9-23.3]","7.8 [3.4-15.0]","6.4 [2.0-15.2]","9.2 [2.8-21.4]"
"Samoa"," 2008"," 25+ years","7.8 [3.6-14.4]","6.1 [2.5-12.7]","9.4 [2.9-21.3]","7.3 [3.5-13.4]","5.9 [2.4-12.2]","8.9 [2.8-19.8]"
"San Marino"," 2008"," 25+ years","...","...","...","...","...","..."
"Sao Tome and Principe"," 2008"," 25+ years","3.1 [1.9-4.8]","2.3 [1.3-3.9]","3.6 [1.8-6.5]","2.8 [1.8-4.2]","2.2 [1.2-3.7]","3.3 [1.7-5.8]"
"Saudi Arabia"," 2008"," 25+ years","8.7 [5.1-13.4]","7.3 [3.7-12.8]","10.3 [4.4-19.5]","7.6 [4.6-11.4]","6.9 [3.6-11.9]","8.6 [4.0-15.8]"
"Senegal"," 2008"," 25+ years","3.9 [1.7-8.0]","3.2 [1.0-8.0]","4.5 [1.3-11.6]","3.7 [1.6-7.4]","3.1 [1.0-7.5]","4.2 [1.3-10.4]"
"Serbia"," 2008"," 25+ years","13.5 [5.7-26.8]","11.9 [3.7-28.3]","14.9 [4.0-38.1]","13.5 [5.6-27.7]","11.8 [3.6-28.4]","15.1 [3.8-39.4]"
"Seychelles"," 2008"," 25+ years","17.8 [10.4-27.0]","17.5 [8.9-29.7]","17.5 [7.1-32.3]","17.4 [10.2-26.2]","17.2 [8.8-29.1]","17.5 [7.1-32.3]"
"Sierra Leone"," 2008"," 25+ years","2.7 [1.2-5.8]","2.1 [0.6-5.2]","3.3 [1.0-8.5]","2.6 [1.1-5.3]","2.1 [0.6-5.0]","3.1 [1.0-7.7]"
"Singapore"," 2008"," 25+ years","17.4 [11.0-25.2]","15.2 [8.9-23.6]","19.4 [9.5-32.9]","18.8 [11.8-27.3]","16.1 [9.4-25.1]","21.5 [10.4-36.4]"
"Slovakia"," 2008"," 25+ years","15.7 [7.1-28.2]","14.8 [4.9-31.5]","16.1 [4.7-35.6]","16.5 [7.3-29.5]","15.0 [4.9-31.9]","17.8 [5.1-39.2]"
"Slovenia"," 2008"," 25+ years","18.1 [8.5-31.1]","17.3 [5.9-36.3]","18.4 [5.6-38.4]","19.8 [9.0-34.3]","18.0 [6.0-38.0]","21.4 [6.1-44.9]"
"Solomon Islands"," 2008"," 25+ years","6.7 [3.7-11.4]","5.5 [2.5-10.3]","8.0 [3.2-16.4]","6.3 [3.6-10.3]","5.2 [2.4-9.6]","7.4 [3.2-14.5]"
"Somalia"," 2008"," 25+ years","4.7 [2.0-9.7]","4.1 [1.3-9.8]","5.3 [1.5-13.3]","4.2 [1.9-8.4]","3.9 [1.2-9.0]","4.6 [1.4-11.3]"
"South Africa"," 2008"," 25+ years","8.0 [3.7-15.6]","6.0 [2.1-13.0]","9.5 [3.0-22.4]","7.4 [3.5-14.1]","5.9 [2.1-12.5]","8.8 [2.8-20.8]"
"Spain"," 2008"," 25+ years","16.4 [10.7-23.4]","17.1 [9.8-26.4]","15.4 [7.6-26.3]","17.3 [11.2-24.9]","17.4 [10.0-26.9]","17.2 [8.4-29.3]"
"Sri Lanka"," 2008"," 25+ years","8.1 [3.5-16.0]","6.6 [2.1-15.1]","9.5 [2.8-22.9]","8.2 [3.5-16.0]","6.7 [2.1-15.4]","9.6 [2.8-23.2]"
"Sudan"," 2008"," 25+ years","7.1 [3.0-13.7]","6.7 [1.9-15.8]","7.5 [2.1-17.9]","6.5 [2.9-12.3]","6.3 [1.9-14.9]","6.7 [2.0-15.7]"
"Suriname"," 2008"," 25+ years","8.1 [3.6-15.7]","6.3 [2.0-15.0]","9.6 [2.8-22.7]","7.8 [3.5-15.2]","6.2 [1.9-14.7]","9.4 [2.8-22.0]"
"Sweden"," 2008"," 25+ years","14.8 [9.1-22.2]","16.3 [8.0-27.7]","13.2 [6.4-23.0]","17.3 [10.5-25.8]","17.8 [8.6-30.4]","16.8 [8.0-29.1]"
"Switzerland"," 2008"," 25+ years","18.8 [11.5-27.5]","18.7 [9.6-31.0]","18.5 [8.8-31.7]","21.2 [12.9-31.1]","19.8 [10.1-32.9]","22.5 [10.3-38.3]"
"Syrian Arab Republic"," 2008"," 25+ years","9.8 [4.5-17.7]","8.3 [2.9-18.5]","11.1 [3.5-24.4]","8.5 [4.1-15.1]","7.6 [2.7-16.7]","9.3 [3.1-20.1]"
"Tajikistan"," 2008"," 25+ years","4.6 [1.8-9.7]","3.8 [1.0-9.6]","5.3 [1.3-14.0]","4.3 [1.7-8.8]","3.7 [1.0-9.2]","4.8 [1.3-12.3]"
"Thailand"," 2008"," 25+ years","15.7 [11.5-20.7]","14.4 [9.7-20.1]","16.7 [10.4-24.7]","15.9 [11.7-21.1]","14.6 [9.8-20.4]","17.1 [10.7-25.4]"
"The former Yugoslav republic of Macedonia"," 2008"," 25+ years","11.0 [4.7-20.8]","10.0 [3.1-23.2]","11.8 [3.3-27.5]","11.5 [4.8-21.9]","10.2 [3.1-23.6]","12.8 [3.5-29.9]"
"Timor-Leste"," 2008"," 25+ years","5.3 [2.1-10.9]","4.2 [1.2-10.5]","6.3 [1.7-15.8]","4.9 [2.0-9.8]","4.0 [1.2-10.0]","5.7 [1.6-13.8]"
"Togo"," 2008"," 25+ years","2.9 [1.2-6.2]","2.3 [0.7-5.6]","3.5 [1.0-8.9]","2.7 [1.2-5.5]","2.2 [0.7-5.2]","3.2 [0.9-7.8]"
"Tonga"," 2008"," 25+ years","13.4 [7.5-21.9]","14.2 [6.8-26.1]","12.3 [4.8-24.8]","12.9 [7.3-21.0]","13.7 [6.6-24.9]","12.2 [4.7-24.8]"
"Trinidad and Tobago"," 2008"," 25+ years","9.6 [3.7-19.7]","7.9 [2.1-20.4]","11.0 [2.7-27.3]","9.3 [3.6-19.0]","7.8 [2.1-19.9]","10.7 [2.7-26.6]"
"Tunisia"," 2008"," 25+ years","10.1 [4.6-18.7]","8.1 [2.6-18.8]","11.9 [3.8-26.1]","9.4 [4.4-17.4]","7.7 [2.6-17.9]","11.1 [3.6-24.1]"
"Turkey"," 2008"," 25+ years","9.0 [6.1-12.7]","7.8 [4.8-11.9]","10.0 [5.5-16.4]","8.4 [5.8-11.8]","7.5 [4.6-11.3]","9.4 [5.2-15.2]"
"Turkmenistan"," 2008"," 25+ years","7.9 [3.2-16.2]","6.9 [2.0-16.9]","8.7 [2.3-21.9]","7.3 [3.0-14.6]","6.6 [1.9-16.1]","7.9 [2.2-19.7]"
"Tuvalu"," 2008"," 25+ years","...","...","...","...","...","..."
"Uganda"," 2008"," 25+ years","4.2 [1.6-8.9]","3.3 [0.8-8.9]","4.9 [1.3-13.0]","3.7 [1.5-7.6]","3.1 [0.8-8.0]","4.3 [1.2-11.2]"
"Ukraine"," 2008"," 25+ years","11.9 [4.6-23.4]","10.4 [2.8-25.1]","12.7 [3.0-30.7]","13.0 [4.9-25.9]","10.6 [2.9-25.6]","14.8 [3.3-36.2]"
"United Arab Emirates"," 2008"," 25+ years","18.2 [9.1-31.8]","17.1 [6.3-34.4]","20.1 [7.2-39.4]","14.5 [7.1-26.1]","14.8 [5.5-29.8]","13.6 [5.2-27.3]"
"United Kingdom of Great Britain and Northern Ireland"," 2008"," 25+ years","21.7 [13.1-32.5]","21.6 [10.9-36.4]","21.3 [9.2-37.2]","23.6 [14.1-35.5]","22.2 [11.0-37.5]","24.9 [10.6-43.2]"
"United Republic of Tanzania"," 2008"," 25+ years","4.5 [1.9-8.9]","3.7 [1.1-9.1]","5.1 [1.5-12.9]","4.0 [1.7-7.7]","3.3 [1.0-7.9]","4.7 [1.4-11.3]"
"United States of America"," 2008"," 25+ years","14.2 [10.6-18.4]","13.1 [9.2-17.7]","14.9 [9.4-21.7]","15.0 [11.1-19.7]","13.4 [9.4-18.2]","16.4 [10.2-24.1]"
"Uruguay"," 2008"," 25+ years","10.2 [5.9-16.2]","9.7 [4.9-17.0]","10.3 [4.4-19.7]","10.9 [6.2-17.6]","9.8 [4.9-17.2]","11.8 [4.7-22.9]"
"Uzbekistan"," 2008"," 25+ years","5.4 [2.5-10.6]","4.1 [1.7-8.6]","6.5 [1.9-15.6]","4.9 [2.3-9.2]","3.9 [1.6-8.0]","5.8 [1.8-13.6]"
"Vanuatu"," 2008"," 25+ years","8.7 [3.8-16.7]","7.6 [2.4-17.2]","9.9 [2.9-23.4]","8.0 [3.6-15.0]","7.3 [2.4-16.2]","8.7 [2.7-20.1]"
"Venezuela (Bolivarian Republic of)"," 2008"," 25+ years","9.4 [4.2-17.0]","6.7 [2.4-14.3]","11.9 [3.7-25.8]","8.8 [3.9-15.8]","6.4 [2.3-13.7]","11.1 [3.5-23.9]"
"Viet Nam"," 2008"," 25+ years","8.2 [3.7-15.6]","6.8 [2.2-15.6]","9.4 [2.7-22.0]","7.6 [3.5-14.4]","6.6 [2.2-14.9]","8.6 [2.6-19.9]"
"Yemen"," 2008"," 25+ years","6.9 [2.9-13.2]","5.9 [1.8-13.5]","7.7 [2.2-18.4]","6.1 [2.7-11.5]","5.5 [1.8-12.4]","6.6 [2.1-15.2]"
"Zambia"," 2008"," 25+ years","5.2 [3.1-8.2]","4.6 [2.2-8.2]","5.7 [2.7-10.8]","4.7 [2.9-7.2]","4.2 [2.1-7.5]","5.2 [2.5-9.5]"
"Zimbabwe"," 2008"," 25+ years","4.6 [1.8-10.1]","3.7 [1.0-10.0]","5.3 [1.3-14.2]","4.1 [1.7-8.7]","3.4 [0.9-8.9]","4.8 [1.3-12.4]"
