"","","","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (age-standardized estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)","Raised total cholesterol (&amp;#8805, 6.2 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Burundi"," 2008"," 25+ years","3.4 [1.3-7.5]","2.7 [0.7-7.2]","3.9 [1.0-10.8]","3.1 [1.2-6.5]","2.6 [0.7-6.7]","3.5 [1.0-9.3]"
"Cabo Verde"," 2008"," 25+ years","4.5 [2.7-7.1]","3.9 [2.1-6.5]","4.8 [2.2-9.0]","4.0 [2.5-6.1]","3.6 [2.0-5.8]","4.4 [2.2-8.1]"
"Cambodia"," 2008"," 25+ years","5.8 [3.7-8.6]","4.6 [2.7-7.2]","6.6 [3.5-11.2]","5.4 [3.6-7.8]","4.4 [2.7-6.8]","6.2 [3.4-10.3]"
"Cameroon"," 2008"," 25+ years","4.0 [1.7-8.2]","3.2 [1.0-7.7]","4.8 [1.4-12.2]","3.7 [1.6-7.3]","3.0 [1.0-7.2]","4.4 [1.3-10.8]"
"Canada"," 2008"," 25+ years","16.2 [8.0-27.8]","14.8 [5.2-31.0]","17.3 [5.7-35.3]","18.1 [8.9-31.0]","15.6 [5.4-32.7]","20.5 [6.7-41.4]"
"Central African Republic"," 2008"," 25+ years","4.2 [1.5-9.5]","3.4 [0.7-9.5]","4.8 [1.1-13.0]","3.9 [1.4-8.5]","3.2 [0.7-8.9]","4.5 [1.0-11.9]"
"Chad"," 2008"," 25+ years","3.1 [1.3-6.5]","2.5 [0.7-6.3]","3.6 [1.0-9.4]","2.9 [1.2-5.8]","2.4 [0.7-6.0]","3.3 [1.0-8.2]"
"Chile"," 2008"," 25+ years","12.9 [6.9-21.1]","12.1 [5.6-22.4]","13.4 [5.1-26.5]","13.2 [7.0-21.5]","12.3 [5.6-22.7]","14.0 [5.2-27.6]"
"China"," 2008"," 25+ years","7.2 [4.7-10.5]","5.9 [3.5-9.4]","8.4 [4.4-14.4]","7.1 [4.7-10.4]","6.0 [3.6-9.5]","8.4 [4.4-14.4]"
"Colombia"," 2008"," 25+ years","10.0 [6.5-14.7]","8.7 [5.2-13.6]","11.1 [5.5-19.1]","9.5 [6.2-13.8]","8.6 [5.1-13.3]","10.4 [5.2-17.8]"
"Comoros"," 2008"," 25+ years","4.5 [1.9-9.2]","3.9 [1.1-9.0]","5.1 [1.4-13.3]","4.1 [1.8-7.9]","3.6 [1.1-8.4]","4.5 [1.4-11.0]"
"Congo"," 2008"," 25+ years","6.1 [2.2-13.2]","5.0 [1.1-13.5]","6.9 [1.7-18.8]","5.4 [2.1-11.5]","4.7 [1.1-12.4]","6.2 [1.6-16.1]"
"Cook Islands"," 2008"," 25+ years","19.9 [10.1-32.6]","19.0 [6.9-38.0]","20.6 [7.1-39.9]","19.1 [9.8-31.4]","18.6 [6.7-37.1]","19.7 [6.9-38.4]"
"Costa Rica"," 2008"," 25+ years","10.2 [4.6-19.5]","8.1 [2.6-18.6]","12.2 [3.8-27.7]","9.8 [4.5-18.5]","7.9 [2.6-18.2]","11.7 [3.7-26.3]"
"Côte d'Ivoire"," 2008"," 25+ years","3.8 [1.7-7.6]","3.1 [1.0-7.3]","4.5 [1.3-11.3]","3.5 [1.6-6.8]","3.0 [1.0-6.9]","4.1 [1.3-9.8]"
"Croatia"," 2008"," 25+ years","14.3 [6.4-26.2]","13.1 [4.3-29.5]","14.9 [4.4-33.1]","15.9 [6.8-29.5]","13.7 [4.4-30.6]","17.8 [4.9-39.9]"
"Cuba"," 2008"," 25+ years","6.9 [2.9-14.1]","5.2 [1.6-12.3]","8.5 [2.4-21.2]","7.2 [3.0-14.9]","5.3 [1.6-12.7]","9.1 [2.5-22.9]"
"Cyprus"," 2008"," 25+ years","17.7 [9.1-29.8]","17.8 [6.8-35.1]","17.7 [6.3-34.6]","18.8 [9.4-31.9]","18.3 [6.9-36.2]","19.3 [6.7-37.8]"
"Czechia"," 2008"," 25+ years","15.5 [10.3-21.5]","14.7 [8.7-22.8]","15.7 [8.5-25.2]","16.9 [11.0-23.8]","15.0 [8.8-23.5]","18.5 [9.7-30.2]"
"Democratic People's Republic of Korea"," 2008"," 25+ years","5.3 [2.0-11.3]","4.2 [1.1-10.9]","6.1 [1.5-16.1]","5.3 [2.0-11.4]","4.3 [1.1-11.1]","6.3 [1.5-16.8]"
