"","","","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (age-standardized estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)","Raised total cholesterol (&gt;= 5.0 mmol/L) (crude estimate)"
"Country","Year","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Cabo Verde"," 2008"," 25+ years","24.5 [16.6-33.7]","23.7 [14.9-34.2]","24.8 [13.5-39.3]","23.0 [16.0-31.1]","22.4 [14.4-31.9]","23.5 [13.1-36.8]"
"Cambodia"," 2008"," 25+ years","30.0 [21.9-38.7]","26.9 [18.3-36.8]","32.0 [20.1-45.5]","29.0 [21.5-37.1]","26.4 [18.2-36.0]","31.1 [19.8-43.9]"
"Cameroon"," 2008"," 25+ years","21.9 [11.3-36.2]","19.5 [7.5-38.4]","24.0 [8.4-47.1]","20.8 [11.0-34.2]","19.1 [7.5-37.1]","22.6 [8.3-44.3]"
"Canada"," 2008"," 25+ years","53.4 [37.2-69.1]","53.4 [30.2-75.0]","52.9 [28.8-74.1]","56.2 [39.3-72.1]","54.8 [30.9-76.6]","57.6 [32.0-78.5]"
"Central African Republic"," 2008"," 25+ years","22.2 [9.8-39.0]","20.3 [5.8-43.6]","23.7 [6.5-49.0]","21.3 [9.7-37.0]","19.7 [5.9-42.0]","22.7 [6.5-46.8]"
"Chad"," 2008"," 25+ years","17.9 [8.6-30.9]","16.3 [5.8-33.9]","19.2 [6.2-40.0]","17.1 [8.5-29.3]","16.1 [5.8-32.7]","18.1 [6.2-37.7]"
"Chile"," 2008"," 25+ years","48.6 [34.0-62.0]","48.6 [31.1-66.3]","48.1 [26.5-68.3]","49.1 [34.3-62.7]","49.0 [31.3-66.7]","49.1 [27.1-69.5]"
"China"," 2008"," 25+ years","33.4 [25.3-41.9]","31.5 [22.0-42.6]","35.1 [22.8-48.7]","33.5 [25.4-42.1]","31.8 [22.2-43.0]","35.3 [22.9-49.1]"
"Colombia"," 2008"," 25+ years","42.4 [32.8-52.0]","41.1 [29.6-53.2]","43.2 [28.1-58.1]","41.4 [32.0-50.6]","40.8 [29.5-52.8]","41.8 [27.2-56.5]"
"Comoros"," 2008"," 25+ years","24.0 [12.2-39.0]","22.7 [8.3-42.6]","25.0 [8.8-49.2]","22.6 [11.6-36.5]","22.1 [8.4-41.1]","23.1 [8.5-45.2]"
"Congo"," 2008"," 25+ years","29.0 [13.9-47.5]","26.7 [8.7-52.9]","30.7 [10.4-58.2]","27.3 [13.4-44.6]","25.9 [8.5-50.8]","28.7 [10.1-54.0]"
"Cook Islands"," 2008"," 25+ years","59.0 [42.2-73.5]","59.3 [35.6-79.7]","58.3 [33.5-78.7]","58.1 [41.4-72.7]","58.8 [35.2-79.3]","57.3 [32.7-77.9]"
"Costa Rica"," 2008"," 25+ years","41.1 [25.4-58.6]","37.4 [17.6-61.2]","44.6 [21.2-69.3]","40.3 [24.9-57.6]","37.1 [17.6-60.9]","43.6 [20.8-68.0]"
"Côte d'Ivoire"," 2008"," 25+ years","21.0 [10.9-34.6]","19.2 [7.7-36.9]","22.8 [8.2-45.0]","20.1 [10.6-32.7]","18.9 [7.7-36.2]","21.4 [8.0-42.0]"
"Croatia"," 2008"," 25+ years","49.8 [31.9-67.3]","49.4 [25.8-73.6]","49.7 [23.9-73.9]","52.3 [33.3-70.1]","50.3 [26.1-74.9]","54.0 [25.6-78.3]"
"Cuba"," 2008"," 25+ years","31.9 [17.8-48.5]","27.9 [11.7-50.4]","35.5 [14.1-62.2]","32.6 [18.1-49.8]","28.3 [11.8-51.0]","36.8 [14.4-64.3]"
"Cyprus"," 2008"," 25+ years","57.1 [40.7-71.9]","58.7 [36.2-78.5]","55.5 [31.8-75.8]","58.5 [41.8-73.3]","59.3 [36.4-79.1]","57.8 [33.0-78.0]"
"Czechia"," 2008"," 25+ years","53.9 [44.0-63.0]","54.4 [41.4-66.9]","52.7 [38.2-65.7]","56.0 [45.6-65.2]","54.9 [41.7-67.6]","56.9 [41.4-70.3]"
"Democratic People's Republic of Korea"," 2008"," 25+ years","26.4 [13.0-43.3]","24.0 [8.6-47.0]","28.1 [9.3-54.6]","26.6 [13.1-43.6]","24.4 [8.7-47.8]","28.7 [9.3-56.0]"
"Democratic Republic of the Congo"," 2008"," 25+ years","16.1 [6.5-31.3]","14.2 [3.8-34.7]","17.6 [4.5-41.0]","15.4 [6.4-29.0]","14.0 [3.9-33.5]","16.6 [4.6-37.7]"
"Denmark"," 2008"," 25+ years","65.2 [51.4-77.1]","68.3 [48.2-84.1]","61.8 [41.4-78.4]","69.7 [55.9-81.0]","70.9 [50.8-86.1]","68.5 [48.2-83.6]"
"Djibouti"," 2008"," 25+ years","36.7 [20.4-54.4]","36.8 [15.6-62.3]","36.3 [13.9-61.6]","34.8 [19.6-51.9]","35.7 [15.3-60.4]","33.9 [13.4-57.9]"
"Dominica"," 2008"," 25+ years","37.9 [27.2-49.3]","31.7 [19.1-46.8]","43.4 [27.5-59.7]","37.9 [27.2-49.2]","31.7 [19.0-46.6]","43.7 [27.6-60.1]"
"Dominican Republic"," 2008"," 25+ years","32.1 [18.2-47.8]","28.0 [12.8-49.1]","36.2 [14.6-60.0]","31.1 [17.8-46.4]","27.5 [12.7-48.1]","34.5 [14.0-57.7]"
"Ecuador"," 2008"," 25+ years","39.8 [23.0-57.9]","38.2 [16.5-63.7]","41.2 [17.0-67.0]","39.0 [22.6-56.9]","37.7 [16.4-63.0]","40.2 [16.8-65.8]"
"Egypt"," 2008"," 25+ years","39.9 [30.3-49.3]","33.9 [22.9-46.5]","45.3 [30.5-59.9]","38.6 [29.2-47.8]","33.3 [22.5-45.6]","43.7 [29.4-58.1]"
"El Salvador"," 2008"," 25+ years","34.9 [19.6-51.3]","31.4 [13.6-53.2]","37.7 [16.2-62.3]","33.4 [19.1-49.2]","30.5 [13.6-51.7]","36.0 [15.5-60.0]"
